five_p_cleav_1,five_p_cleav_compl_1,five_p_cleav_2,five_p_cleav_compl_2,five_p_cleav_prob,five_p_cleav_ss,five_p_non_cleav_1,five_p_non_cleav_compl_1,five_p_non_cleav_2,five_p_non_cleav_compl_2,five_p_non_cleav_prob,five_p_non_cleav_ss,three_p_cleav_1,three_p_cleav_compl_1,three_p_cleav_2,three_p_cleav_compl_2,three_p_cleav_prob,three_p_cleav_ss,three_p_non_cleav_1,three_p_non_cleav_compl_1,three_p_non_cleav_2,three_p_non_cleav_compl_2,three_p_non_cleav_prob,three_p_non_cleav_ss
"[-7, -8, -9, -10, -9, -10, -9, -8, -7]","[3, 2, 3, 4, 3]","[-3, -2, -3, -4, -3, -2, -3]","[9, 10, 11, 10, 9, 10]","[0.9999774201105004, 0.999980514024885, 0.9995101635980558, 0.9999532147768085, 0.9991863820338224, 0.999488467471896, 0.9999647830447684, 0.9984177223328632, 0.9815034929727035, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]","[-9, -8, -7, -8, -9, -10, -9]","[4, 3, 2, 3, 2, 3, 4, 3]","[-3, -2, -1, -2, -3, -2, -3, -4, -3]","[9, 10, 11, 10, 9]","[-1, -1, -1, 0.9884272233549808, 0.9932421952234491, 0.9965490121599976, 0.9999774201105004, 0.999980514024885, 0.9995101635980558, 0.9999532147768085, 0.9991863820338224, 0.999488467471896, 0.9999647830447684, 0.9984177223328632]","[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[-8, -7, -8, -7, -6, -7, -6, -7]","[3, 2, 3, 2, 1, 0]","[-1, 0, 1, 2, 1, 0, 1, 2]","[10, 11, 10, 9, 10, 9, 8]","[-1, -1, -1, 0.9815034929727035, 0.9984177223328632, 0.9999647830447684, 0.999488467471896, 0.9991863820338224, 0.9999532147768085, 0.9995101635980558, 0.999980514024885, 0.9999774201105004, 0.9965490121599976, 0.9932421952234491]","[0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[-8, -7, -6, -7, -6, -7, -8, -7, -6, -7]","[3, 2, 1, 0]","[1, 0, 1, 2, 3, 4]","[11, 10, 9, 10, 9, 8, 9, 8, 9]","[0.999488467471896, 0.9991863820338224, 0.9999532147768085, 0.9995101635980558, 0.999980514024885, 0.9999774201105004, 0.9965490121599976, 0.9932421952234491, 0.9884272233549808, -1, -1, -1, 0.9399462974542195, 0.9996644789319262]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, -1, -1]"
"[10, 9, 10, 11, 10, 11, 12, 13, 14, 15, 14]","[1, 0, -1]","[-6, -5, -4, -5, -6]","[-6, -5, -6, -7, -6, -7, -8, -9]","[0.9999182699779191, 0.9997397493390084, 0.9999534047480999, 0.9995087880374565, 0.9999659946624541, 0.9997374446410492, 0.9998940524693979, 0.9750535996276902, 0.9016903706769465, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]","[9, 8, 9, 10, 9, 10, 11, 10, 11, 12]","[0, 1, 0, -1]","[-3, -4, -5, -6, -5, -4]","[-5, -4, -5, -6, -5, -6, -7, -6, -7, -8]","[-1, 0.9895066479348333, 0.9904947267127527, 0.8701434689735476, -1, 0.9737105521655978, 0.9999182699779191, 0.9997397493390084, 0.9999534047480999, 0.9995087880374565, 0.9999659946624541, 0.9997374446410492, 0.9998940524693979, 0.9750535996276902]","[0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[14, 13, 14, 13, 12, 11, 12]","[-1, 0, 1, 2, 1, 2, 3, 2]","[-6, -7, -8, -9, -10, -9, -10, -11, -10]","[-9, -8, -7, -8]","[-1, -1, -1, -1, 0.9016903706769465, 0.9750535996276902, 0.9998940524693979, 0.9997374446410492, 0.9999659946624541, 0.9995087880374565, 0.9999534047480999, 0.9997397493390084, 0.9999182699779191, 0.9737105521655978]","[0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[13, 12, 11, 12]","[1, 2, 1, 2, 3, 2, 3, 4, 3]","[-9, -10, -9, -10, -11, -10, -11, -12, -13, -12, -13, -14]","[-9, -8, -7, -8]","[0.9998940524693979, 0.9997374446410492, 0.9999659946624541, 0.9995087880374565, 0.9999534047480999, 0.9997397493390084, 0.9999182699779191, 0.9737105521655978, -1, 0.8701434689735476, 0.9904947267127527, 0.9895066479348333, -1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, 0, 0]"
"[-5, -4, -5, -6, -5, -6, -5, -6]","[-1, -2, -1, 0, 1, 2]","[-4, -3, -4, -5, -6, -7, -8, -7]","[-2, -3, -2, -1, -2, -1, 0]","[0.8528912502364185, 0.9996348965199316, 0.999441968756378, 0.9999032334181851, 0.9995226197641477, 0.9997981253485322, 0.9878826086973034, 0.8599076750340127, -1, 0.4223891355204482, 0.5431053256590428, 0.5159616655897169, -1, -1]","[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0]","[-4, -5, -6, -5, -4, -5, -6, -5, -6]","[0, -1, -2, -1, 0]","[-5, -4, -5, -4, -3, -4, -5]","[-2, -1, -2, -3, -2, -1, -2, -1]","[-1, -1, 0.9844621699601662, 0.9877432700338828, 0.9846167632437057, -1, 0.8528912502364185, 0.9996348965199316, 0.999441968756378, 0.9999032334181851, 0.9995226197641477, 0.9997981253485322, 0.9878826086973034, 0.8599076750340127]","[0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]","[-4, -3, -2, -1, 0, -1]","[2, 1, 0, 1, 0, -1, 0]","[-8, -7, -8, -7, -6, -5, -6, -5, -4, -5]","[-1, -2, -3, -4, -3]","[0.5431053256590428, 0.4223891355204482, -1, -1, -1, -1, 0.8599076750340127, 0.9878826086973034, 0.9997981253485322, 0.9995226197641477, 0.9999032334181851, 0.999441968756378, 0.9996348965199316, 0.8528912502364185]","[-1, -1, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1]","[-2, -1, 0, -1, -2, -3]","[1, 0, 1, 0, -1, 0, -1, -2, -3]","[-6, -5, -6, -5, -4, -5, -6, -5, -6, -5]","[-2, -3, -4, -3, -2]","[0.8599076750340127, 0.9878826086973034, 0.9997981253485322, 0.9995226197641477, 0.9999032334181851, 0.999441968756378, 0.9996348965199316, 0.8528912502364185, -1, 0.9846167632437057, 0.9877432700338828, 0.9844621699601662, -1, 0.9964325641459799]","[-1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, 0, -1]"
"[-2, -1, 0, -1, -2, -3, -4, -5]","[0, -1, -2, -1, 0, 1, 2, 1]","[-12, -11, -10, -11, -12, -13, -14, -13]","[1, 0, -1, 0, -1]","[0.9960660595674117, 0.9999657154380972, 0.9999721921386165, 0.9991661938111275, 0.9991005287636938, 0.999569766031889, 0.9897064979883649, -1, -1, 0.8490674903265155, 0.9687981756650796, 0.9916494862736331, 0.9925174941467061, -1]","[1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0]","[-3, -4, -3, -2, -1, 0, -1, -2]","[1, 0, -1, -2, -1, 0]","[-11, -12, -11, -12, -11, -10, -11, -12]","[2, 3, 2, 1, 0, -1, 0]","[0.9999516327784862, 0.9986003805921231, 0.9699121160526047, -1, -1, 0.9437839266384971, 0.9960660595674117, 0.9999657154380972, 0.9999721921386165, 0.9991661938111275, 0.9991005287636938, 0.999569766031889, 0.9897064979883649, -1]","[1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[-5, -6, -5, -4, -3, -2, -1, -2, -3]","[1, 0, -1, 0, 1, 2]","[-15, -16, -15, -16, -17, -18, -17]","[-1, 0, -1, -2, -3, -4, -3, -2]","[0.9925174941467061, 0.9916494862736331, 0.9687981756650796, 0.8490674903265155, -1, 0.9897064979883649, 0.999569766031889, 0.9991005287636938, 0.9991661938111275, 0.9999721921386165, 0.9999657154380972, 0.9960660595674117, 0.9437839266384971, -1]","[-1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, 0]","[-2, -1, -2, -3, -4, -3, -2]","[0, -1, 0, 1, 2, 3, 2]","[-16, -15, -16, -17, -18, -17, -16, -17, -16]","[-3, -4, -3, -2, -3, -4, -5]","[0.999569766031889, 0.9991005287636938, 0.9991661938111275, 0.9999721921386165, 0.9999657154380972, 0.9960660595674117, 0.9437839266384971, -1, -1, 0.9699121160526047, 0.9986003805921231, 0.9999516327784862, 0.9988716711292377, 0.9988782852943848]","[-1, -1, -1, -1, -1, -1, -1, 0, 0, -1, -1, -1, -1, -1]"
"[-7, -6, -5, -6, -7, -8, -9, -10, -9, -8]","[-2, -3, -4, -3, -2, -3]","[-3, -2, -1, -2, -3, -4]","[4, 3, 2, 3, 4]","[0.9898750345552019, 0.9938409447384641, 0.9938475970875561, 0.9930396427926367, 0.9929275736834664, 0.9931568336920966, 0.9449658570531808, -1, -1, 0.6150042026576795, 0.7127805597304604, -1, -1, -1]","[1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0]","[-8, -9, -8, -7, -6, -5, -6, -7]","[-1, -2, -3, -4, -3, -2]","[-2, -3, -2, -3, -2, -1, -2, -3]","[5, 6, 5, 4, 3, 2, 3]","[0.9999466700640657, 0.9980944010312444, 0.9602357465604074, -1, -1, 0.9380020834732552, 0.9898750345552019, 0.9938409447384641, 0.9938475970875561, 0.9930396427926367, 0.9929275736834664, 0.9931568336920966, 0.9449658570531808, -1]","[1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[-9, -8, -7, -8, -9, -8, -7, -6, -7, -8]","[-3, -4, -5, -4, -3, -2]","[-4, -3, -2, -3, -4, -5]","[4, 3, 2, 1, 2, 3]","[-1, -1, 0.7127805597304604, 0.6150042026576795, -1, -1, 0.9449658570531808, 0.9931568336920966, 0.9929275736834664, 0.9930396427926367, 0.9938475970875561, 0.9938409447384641, 0.9898750345552019, 0.9380020834732552]","[0, 0, -1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1]","[-8, -7, -6, -7, -8, -9, -8]","[-4, -5, -4, -3, -2, -1, -2]","[-3, -2, -3, -4, -5, -4, -5, -6, -5]","[3, 2, 1, 2, 3, 2, 1]","[0.9449658570531808, 0.9931568336920966, 0.9929275736834664, 0.9930396427926367, 0.9938475970875561, 0.9938409447384641, 0.9898750345552019, 0.9380020834732552, -1, -1, 0.9602357465604074, 0.9980944010312444, 0.9999466700640657, 0.9988704081762405]","[-1, -1, -1, -1, -1, -1, -1, -1, 0, 0, -1, -1, -1, -1]"
"[-6, -5, -4, -5, -4, -5]","[-10, -11, -12, -11, -12, -11, -12, -13, -14]","[10, 11, 10, 9, 10, 9, 10, 9, 10, 9]","[6, 5, 4, 5, 6]","[0.9901180548676507, 0.9944267282181856, 0.9946721613194501, 0.99396742659717, 0.9947878820906817, 0.9959047884547286, 0.9955044260250085, 0.9931021826572273, 0.8855527562732808, -1, 0.848707690213397, 0.8332718581873172, 0.8228019246370223, -1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0]","[-8, -7, -6, -5, -6, -5, -4]","[-8, -9, -10, -11, -12, -11, -12, -11, -12]","[8, 9, 10, 11, 10, 9, 10, 9, 10]","[8, 7, 6, 5, 4]","[0.9999285732943632, 0.9672217294750123, -1, 0.9460041112692247, 0.9721638441838021, -1, 0.9901180548676507, 0.9944267282181856, 0.9946721613194501, 0.99396742659717, 0.9947878820906817, 0.9959047884547286, 0.9955044260250085, 0.9931021826572273]","[1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]","[-6, -7, -8, -9, -8, -9, -8, -9, -10]","[-14, -15, -16, -15, -14]","[8, 9, 10, 11, 12, 11, 10]","[6, 7, 6, 7, 6, 7, 6, 5, 6]","[-1, -1, 0.8228019246370223, 0.8332718581873172, 0.848707690213397, 0.8855527562732808, 0.9931021826572273, 0.9955044260250085, 0.9959047884547286, 0.9947878820906817, 0.99396742659717, 0.9946721613194501, 0.9944267282181856, 0.9901180548676507]","[0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[-8, -9, -8, -9, -8, -9, -10, -9, -10, -11]","[-16, -15, -14, -13, -12]","[12, 11, 10, 9, 10, 9]","[6, 7, 6, 7, 6, 5, 6, 7, 8]","[0.9931021826572273, 0.9955044260250085, 0.9959047884547286, 0.9947878820906817, 0.99396742659717, 0.9946721613194501, 0.9944267282181856, 0.9901180548676507, -1, 0.9721638441838021, 0.9460041112692247, -1, 0.9672217294750123, 0.9999285732943632]","[-1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, 0, -1, -1]"
"[0, 1, 0, 1, 0, -1]","[-5, -4, -5, -4, -3, -4, -5]","[1, 0, -1, -2, -3, -2, -3, -4, -5, -6]","[-5, -6, -5, -4, -3]","[0.9994640628843765, 0.9991319788864247, 0.9968415280339364, -1, -1, -1, -1, 0.9147006826948013, 0.9183720230342937, 0.9192734371860254, 0.5679645976913655, 0.6988391139095235, 0.5626433632029898, 0.340965754595728]","[1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1]","[-2, -1, 0, 1, 0, 1, 0, 1]","[-5, -6, -5, -4, -5]","[1, 2, 1, 0, -1, -2, -3, -2]","[-3, -4, -5, -6, -5, -6, -5]","[0.9625302063209933, 0.9998562319293638, 0.99883864251617, 0.9981362769314508, 0.9991665772109025, 0.9999517794496247, 0.9994640628843765, 0.9991319788864247, 0.9968415280339364, -1, -1, -1, -1, 0.9147006826948013]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1]","[-2, -1, -2, -3, -2, -1, 0, -1, 0, 1]","[-5, -6, -7, -8, -7, -8]","[-7, -6, -5, -4, -5, -4]","[-3, -4, -5, -6, -7, -6, -7, -8]","[-1, 0.340965754595728, 0.5626433632029898, 0.6988391139095235, -1, 0.5679645976913655, 0.9192734371860254, 0.9183720230342937, 0.9147006826948013, 0.9968415280339364, 0.9991319788864247, 0.9994640628843765, 0.9999517794496247, 0.9991665772109025]","[0, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[-1, 0, -1, 0, 1, 0]","[-6, -7, -8, -7, -8, -7, -6, -5, -4]","[-6, -5, -4, -5, -4, -5, -6, -7, -6, -7]","[-6, -7, -6, -7, -8, -7]","[0.9192734371860254, 0.9183720230342937, 0.9147006826948013, 0.9968415280339364, 0.9991319788864247, 0.9994640628843765, 0.9999517794496247, 0.9991665772109025, 0.9981362769314508, 0.99883864251617, 0.9998562319293638, 0.9625302063209933, -1, 0.9766992772192614]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1]"
"[-6, -5, -6, -5, -6]","[-3, -4, -3]","[-1, -2, -1, 0, -1, -2, -1, -2, -3, -4, -3]","[0, -1, 0, 1]","[0.9991185687385231, 0.9952490207524014, -1, -1, -1, 0.8166446336648034, 0.8213788602079054, 0.8188637638855665, -1, -1, -1, -1, -1, -1]","[1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[-5, -4, -5, -6, -5, -6, -5, -6]","[-4, -5, -4, -3, -4, -3]","[0, 1, 0, -1, -2, -1, 0, -1]","[-1, -2, -1, 0, -1, 0, 1]","[0.9999734090254928, 0.9984175637892257, 0.9753188508966545, 0.9632237193345813, 0.9998368408603174, 0.9994454436959389, 0.9991185687385231, 0.9952490207524014, -1, -1, -1, 0.8166446336648034, 0.8213788602079054, 0.8188637638855665]","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1]","[-7, -6, -5, -4, -5, -4, -5, -4, -3]","[-3, -4, -5, -4, -5]","[-4, -5, -4, -3, -2, -3, -2]","[1, 0, 1, 0, -1]","[-1, -1, -1, 0.8188637638855665, 0.8213788602079054, 0.8166446336648034, -1, -1, -1, 0.9952490207524014, 0.9991185687385231, 0.9994454436959389, 0.9998368408603174, 0.9632237193345813]","[0, 0, 0, -1, -1, -1, 0, 0, 0, -1, -1, -1, -1, -1]","[-5, -4, -5, -4, -3, -4, -5]","[-4, -5, -4, -5, -6, -5, -6]","[-4, -3, -2, -3, -2, -3, -2, -3, -2]","[1, 0, -1, 0, 1]","[-1, -1, -1, 0.9952490207524014, 0.9991185687385231, 0.9994454436959389, 0.9998368408603174, 0.9632237193345813, -1, 0.9753188508966545, 0.9984175637892257, 0.9999734090254928, 0.9999913752587087, 0.9999801897612528]","[0, 0, 0, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1]"
"[-4, -5, -4, -5, -6, -7, -6, -5]","[0, -1, 0, -1, -2, -1]","[4, 5, 4, 3, 2, 3, 4, 3]","[1, 2, 1, 0]","[0.9997140854726135, 0.9901709945087761, -1, -1, -1, -1, -1, -1, 0.34013940924869923, 0.5477775796890844, 0.8364869274766557, 0.8369183979591724, 0.8371661073782118, 0.8352477395117801]","[1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]","[-5, -6, -5, -4, -3, -4, -5, -4, -5, -6]","[1, 0, -1, 0]","[3, 4, 5, 4, 3, 2]","[4, 5, 4, 3, 2, 1]","[0.9999608403971231, 0.9997431844283592, 0.9999486299379585, 0.9988316277908269, 0.9958120582683093, 0.9988889709547024, 0.9997140854726135, 0.9901709945087761, -1, -1, -1, -1, -1, -1]","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[-5, -6, -7, -6, -7, -6, -7, -8, -7, -8]","[-2, -1, 0, -1, -2]","[3, 2, 1, 0, 1, 0]","[0, 1, 0, 1, 2, 1, 2]","[-1, -1, -1, -1, 0.7858883406345117, 0.8352477395117801, 0.8371661073782118, 0.8369183979591724, 0.8364869274766557, 0.5477775796890844, 0.34013940924869923, 0.9901709945087761, 0.9997140854726135, 0.9988889709547024]","[0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[-6, -7, -8, -7, -8, -9, -8]","[-2, -1, 0, -1, -2, -1, 0, 1, 0]","[2, 1, 0, 1, 0, -1, -2, -3, -2]","[0, 1, 2, 1, 2, 3, 2]","[0.8371661073782118, 0.8369183979591724, 0.8364869274766557, 0.5477775796890844, 0.34013940924869923, 0.9901709945087761, 0.9997140854726135, 0.9988889709547024, 0.9958120582683093, 0.9988316277908269, 0.9999486299379585, 0.9997431844283592, 0.9999608403971231, 0.998808878628453]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
"[-3, -4, -3, -4, -3, -4, -3, -4, -3]","[0, -1, 0, 1, 2, 1]","[-3, -2, -3, -4, -5, -6, -7]","[4, 3, 4, 3, 2, 1, 0, -1]","[0.9999014525654396, 0.9981100843804233, 0.9955420140960942, 0.984259932397439, 0.8558877825665208, -1, 0.7663245858053686, -1, 0.5097888271034616, 0.5698334549046599, 0.5731286686969572, 0.5680119799982549, 0.5601959690579656, 0.5586932668018718]","[1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1]","[-1, -2, -3, -4, -3, -4]","[2, 1, 0, -1, 0, 1, 2]","[-1, -2, -3, -4, -3, -2, -3, -4, -5, -6]","[2, 3, 4, 3, 4]","[-1, 0.9997041961534197, 0.9999251316480775, 0.9623190619998306, -1, 0.9992008156651496, 0.9999014525654396, 0.9981100843804233, 0.9955420140960942, 0.984259932397439, 0.8558877825665208, -1, 0.7663245858053686, -1]","[0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0]","[-4, -5, -4, -3, -2, -1, -2, -3]","[2, 3, 2, 3, 2, 3, 2, 1]","[-9, -10, -11, -12, -13, -14, -13, -14]","[-2, -3, -4, -5, -6, -5, -4]","[0.5586932668018718, 0.5601959690579656, 0.5680119799982549, 0.5731286686969572, 0.5698334549046599, 0.5097888271034616, 0.7663245858053686, -1, 0.8558877825665208, 0.984259932397439, 0.9955420140960942, 0.9981100843804233, 0.9999014525654396, 0.9992008156651496]","[-1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1]","[-5, -4, -3, -2, -1, -2, -3, -4]","[3, 2, 1, 0, -1, -2, -1]","[-14, -13, -14, -15, -14, -13, -12, -13]","[-3, -4, -5, -6, -5, -4, -5]","[0.7663245858053686, -1, 0.8558877825665208, 0.984259932397439, 0.9955420140960942, 0.9981100843804233, 0.9999014525654396, 0.9992008156651496, -1, 0.9623190619998306, 0.9999251316480775, 0.9997041961534197, 0.999362012218381, 0.9993439638708341]","[-1, 0, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1]"
"[-7, -6, -7, -8, -7, -8, -9, -8, -9]","[-7, -6, -5]","[6, 7, 6, 5, 4, 3, 4]","[5, 4, 3, 4, 3, 4, 3]","[-1, 0.9064675474205833, 0.9834646386298956, 0.9703404572269646, 0.9516614110556412, 0.9422552994173862, 0.6701496245044128, -1, -1, 0.618460377320057, 0.6123814102862665, -1, -1, -1]","[0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0]","[-4, -5, -6, -7, -6, -7, -6, -7, -8, -7]","[-6, -7, -6, -5]","[5, 6, 7, 6, 5, 4]","[4, 3, 4, 5, 4, 5, 4, 3, 4, 3]","[0.9921138224966819, 0.9999606127021787, 0.9999886488546914, 0.9999795663941272, 0.9994053804747404, 0.9965451467908392, -1, 0.9064675474205833, 0.9834646386298956, 0.9703404572269646, 0.9516614110556412, 0.9422552994173862, 0.6701496245044128, -1]","[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0]","[-9, -8, -9, -10, -9, -8, -7]","[-5, -4, -5, -4, -5, -6, -5, -6, -5]","[4, 3, 4, 3, 4, 3, 2, 3, 2]","[3, 2, 1]","[-1, -1, -1, 0.6123814102862665, 0.618460377320057, 0.6701496245044128, 0.9422552994173862, 0.9516614110556412, 0.9703404572269646, 0.9834646386298956, 0.9064675474205833, -1, 0.9965451467908392, 0.9994053804747404]","[0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1]","[-10, -9, -8, -7, -8, -9, -10]","[-4, -5, -6, -5, -6, -5, -6, -7, -8]","[3, 4, 3, 2, 3, 2, 3, 4, 3]","[3, 2, 1, 2, 1, 2]","[0.9422552994173862, 0.9516614110556412, 0.9703404572269646, 0.9834646386298956, 0.9064675474205833, -1, 0.9965451467908392, 0.9994053804747404, 0.9999795663941272, 0.9999886488546914, 0.9999606127021787, 0.9921138224966819, 0.99209687819641, 0.9999194603848001]","[-1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1]"
"[-4, -3, -2, -3, -4, -3, -4, -5, -6]","[-2, -1, -2, -1, 0, 1]","[-5, -6, -5, -6, -7, -8, -9]","[4, 3, 2, 3, 2]","[0.9994923333872228, 0.9994924881313527, 0.9999539154986739, 0.9994945472507888, 0.9998741918737265, 0.9861751131848444, 0.9504224832450969, -1, -1, -1, -1, -1, 0.8079234914921101, 0.8257160085673118]","[1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1]","[-3, -2, -3, -4, -3, -2, -3]","[-1, -2, -3, -2, -1, -2, -1, 0]","[-2, -3, -4, -5, -6, -5, -6, -7, -8]","[2, 3, 4, 3, 2, 3]","[-1, 0.9979860717972585, 0.9984155771996311, 0.9920221224035086, 0.9980984041434406, 0.9999490980337693, 0.9994923333872228, 0.9994924881313527, 0.9999539154986739, 0.9994945472507888, 0.9998741918737265, 0.9861751131848444, 0.9504224832450969, -1]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[-4, -5, -4, -5, -4, -3, -2, -3, -2, -1]","[1, 0, -1, 0, 1, 0]","[-6, -7, -6, -7, -8, -7]","[2, 1, 2, 1, 0, -1, 0, -1, -2]","[-1, 0.7794966230825768, 0.8267667749423413, 0.8257160085673118, 0.8079234914921101, 0.9504224832450969, 0.9861751131848444, 0.9998741918737265, 0.9994945472507888, 0.9999539154986739, 0.9994924881313527, 0.9994923333872228, 0.9999490980337693, 0.9980984041434406]","[0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[-3, -2, -3, -2, -1, -2, -3, -2]","[0, -1, 0, 1, 0, -1, -2]","[-7, -6, -7, -8, -7, -6, -5, -4]","[0, -1, 0, -1, -2, -3, -4, -5]","[0.9861751131848444, 0.9998741918737265, 0.9994945472507888, 0.9999539154986739, 0.9994924881313527, 0.9994923333872228, 0.9999490980337693, 0.9980984041434406, 0.9920221224035086, 0.9984155771996311, 0.9979860717972585, -1, 0.9624209930806846, 0.9998663504944433]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1]"
"[-5, -6, -7, -8, -9, -10, -11, -12]","[1, 0, -1, 0, 1, 0]","[-5, -6, -5, -6, -7, -8, -9, -8]","[1, 2, 3, 2, 3, 4, 5, 6]","[0.9991983264141611, 0.9998796751008281, 0.995197699309219, -1, 0.9481440447400875, 0.9554703456080367, 0.8756408784693, 0.45943014358775774, 0.6040387701782263, -1, 0.8936470035507634, 0.9734644900305414, 0.9737053500951198, 0.9735482098430482]","[1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]","[-4, -3, -4, -5, -6, -7, -8]","[0, -1, 0, 1, 0, -1, 0, 1]","[-2, -3, -4, -5, -6, -5, -6, -7, -8]","[0, -1, 0, 1, 2, 3, 2]","[0.9994040927426757, 0.999969187058958, 0.9989656225181571, 0.9958418344652673, 0.9988395021710228, 0.9999675576206557, 0.9991983264141611, 0.9998796751008281, 0.995197699309219, -1, 0.9481440447400875, 0.9554703456080367, 0.8756408784693, 0.45943014358775774]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]","[-16, -17, -16, -17, -16, -15, -14, -15, -16, -15]","[-6, -7, -8, -9]","[-10, -11, -10, -11, -10, -9]","[6, 5, 4, 5, 4, 3]","[-1, -1, -1, -1, -1, 0.8756408784693, 0.9554703456080367, 0.9481440447400875, -1, 0.995197699309219, 0.9998796751008281, 0.9991983264141611, 0.9999675576206557, 0.9988395021710228]","[0, 0, 0, 0, 0, -1, -1, -1, 0, -1, -1, -1, -1, -1]","[-15, -14, -15, -16, -15, -14, -15, -14]","[-6, -7, -8, -9, -10, -9, -10]","[-11, -10, -11, -10, -9, -8, -9, -8]","[5, 4, 5, 4, 3, 2, 1, 0]","[0.9554703456080367, 0.9481440447400875, -1, 0.995197699309219, 0.9998796751008281, 0.9991983264141611, 0.9999675576206557, 0.9988395021710228, 0.9958418344652673, 0.9989656225181571, 0.999969187058958, 0.9994040927426757, 0.9994887308538807, 0.9999522560052995]","[-1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
