five_p_cleav_1,five_p_cleav_compl_1,five_p_cleav_prob,five_p_non_cleav_1,five_p_non_cleav_compl_1,five_p_non_cleav_prob,three_p_cleav_1,three_p_cleav_compl_1,three_p_cleav_prob,three_p_non_cleav_1,three_p_non_cleav_compl_1,three_p_non_cleav_prob
"[-18, -20, -19, -21, -19, -21, -20, -18, -17, -19, -18, -19, -20, -18, -19]","[13, 14.87808708799245, 14.87808708799245, 16.59254462641069, 14.609757845977708, 16.60717355261766, 15.607261239634177, 13.614918725255082, 13.614918725255082, 13.614918725255082, 12.619738580468304, 13.60976889740913, 13.60976889740913, 13.60976889740913, 13.60976889740913]","[0.9390435439962248, -1, 0.8572287692091191, 0.9913933902164898, 0.9987078533199748, 0.9999123129834818, 0.9961712571895466, -1, -1, 0.9951801447867775, 0.9900303169408253, -1, -1, -1]","[-15, -17, -18, -20, -18, -17, -18, -20, -19, -21, -19, -21, -20, -18, -17]","[10, 11.99897428867715, 12.998938958955964, 14.99774437891067, 12.998936560245006, 11.998957191965609, 12.998825115638272, 14.876912203630724, 14.876912203630724, 16.59136974204896, 14.608582961615982, 16.605998668255932, 15.60608635527245, 13.613743840893356, 13.613743840893356]","[0.999487144338575, 0.9999646702788139, 0.999402709977353, 0.9994039093328321, 0.9999793682793973, 0.999867923672665, 0.9390435439962248, -1, 0.8572287692091191, 0.9913933902164898, 0.9987078533199748, 0.9999123129834818, 0.9961712571895466, -1]","[-16, -14, -13, -14, -15, -14, -16, -17, -15, -17, -15, -13, -11, -10, -11]","[14, 14, 13.009969683059175, 14.005149827845953, 14.005149827845953, 14.005149827845953, 15.997492342225046, 16.997404655208527, 14.999988948568578, 16.982775729001556, 15.268318190583319, 15.268318190583319, 13.39023110259087, 12.390363178918204, 13.390342547197601]","[-1, 0.9900303169408253, 0.9951801447867775, -1, -1, 0.9961712571895466, 0.9999123129834818, 0.9987078533199748, 0.9913933902164898, 0.8572287692091191, -1, 0.9390435439962248, 0.999867923672665, 0.9999793682793973]","[-16, -17, -15, -17, -15, -13, -11, -10, -11, -13, -11, -10, -8, -10, -8]","[16, 16.999912312983483, 15.002496606343533, 16.985283386776512, 15.270825848358273, 15.270825848358273, 13.392738760365823, 12.39287083669316, 13.392850204972557, 15.39165802363822, 13.392852603683515, 12.392887933404701, 10.39391364472755, 12.391689824508285, 10.394658427578733]","[0.9999123129834818, 0.9987078533199748, 0.9913933902164898, 0.8572287692091191, -1, 0.9390435439962248, 0.999867923672665, 0.9999793682793973, 0.9994039093328321, 0.999402709977353, 0.9999646702788139, 0.999487144338575, 0.9988880898903675, 0.9985156984647758]"
"[-10, -11, -12, -14, -13, -15, -14, -12, -11, -10, -8, -9, -7, -9, -10]","[-3, -2.0002746175676913, -1.000308973689542, 0.9987026348027577, -0.0012440143374985446, 1.9977283524629836, 1.000891911949629, -0.9540137230900854, -1.5412505059920694, -2.125228187235139, -2.125228187235139, -2.125228187235139, -2.125228187235139, -2.125228187235139, -1.5412505059920694]","[0.9997253824323089, 0.999965643878149, 0.9995058042461498, 0.9999466491402562, 0.9994861834002411, 0.9968364405133547, 0.977452817519857, 0.5872367829019839, 0.5839776812430694, -1, -1, -1, -1, 0.5839776812430694]","[-7, -8, -10, -12, -14, -12, -10, -11, -12, -14, -13, -15, -14, -12, -11]","[-5, -4.015830400452344, -2.1061990235159858, -1.2756143806876108, -1.2756143806876108, -1.2756143806876108, -3.060377569434414, -2.0606521870021055, -1.0606865431239565, 0.9383250653683426, -0.06162158377191318, 1.9373507830285686, 0.9405143425152138, -1.0143912925245004, -1.6016280754264844]","[0.9841695995476553, 0.9548156884681794, 0.8305846428283751, -1, -1, 0.8923815943734017, 0.9997253824323089, 0.999965643878149, 0.9995058042461498, 0.9999466491402562, 0.9994861834002411, 0.9968364405133547, 0.977452817519857, 0.5872367829019839]","[-10, -11, -9, -8, -7, -6, -8, -9, -7, -8, -6, -5, -4, -6, -5]","[-2, -1.412763217098016, -1.412763217098016, -1.412763217098016, -1.412763217098016, -1.412763217098016, 0.5421424179416978, 1.5389788584550526, -0.4599935083454296, 0.5399531407948266, -1.459058467697473, -2.459024111575622, -3.4587494940079306, -1.6739863052611275, -3.3351555909178776]","[0.5872367829019839, -1, -1, -1, -1, 0.977452817519857, 0.9968364405133547, 0.9994861834002411, 0.9999466491402562, 0.9995058042461498, 0.999965643878149, 0.9997253824323089, 0.8923815943734017, 0.8305846428283751]","[-8, -9, -7, -8, -6, -5, -4, -6, -5, -3, -2, -1, -3, -5, -6]","[1, 1.9968364405133547, -0.002135926287127443, 0.9978107228531288, -1.0012008856391708, -2.0011665295173198, -3.000891911949629, -1.2161287232028255, -2.877298008859576, -4.7869293857959345, -5.77109898534359, -6.750994638325523, -6.750994638325523, -4.829907427293759, -3.8311233573826575]","[0.9968364405133547, 0.9994861834002411, 0.9999466491402562, 0.9995058042461498, 0.999965643878149, 0.9997253824323089, 0.8923815943734017, 0.8305846428283751, 0.9548156884681794, 0.9841695995476553, 0.9798956529819327, -1, 0.9605436055158818, 0.9987840699111012]"
"[-7, -8, -10, -12, -11, -13, -12, -10, -9, -8, -10, -8, -10, -12, -14]","[8, 8.999858102467595, 10.997584191727542, 12.995328208688118, 11.995379118042928, 13.99451490058774, 12.99476636696703, 11.13573415728535, 11.13573415728535, 10.549988809475938, 11.453625680553577, 11.453625680553577, 11.453625680553577, 11.453625680553577, 11.453625680553577]","[0.9998581024675949, 0.9988630446299736, 0.9988720084802878, 0.9999490906451896, 0.999567891272406, 0.9997485336207101, 0.9295161048408397, -1, 0.5857453478094136, 0.45181843553881995, -1, -1, -1, -1]","[-6, -7, -8, -9, -11, -9, -7, -8, -10, -12, -11, -13, -12, -10, -9]","[6, 6, 6.98359981081227, 7.97354439594633, 9.844382252445483, 9.844382252445483, 7.899920870520678, 8.899778972988273, 10.89750506224822, 12.895249079208796, 11.895299988563606, 13.894435771108418, 12.894687237487707, 11.035655027806028, 11.035655027806028]","[-1, 0.9835998108122697, 0.9899445851340601, 0.9354189282495763, -1, 0.9722306909624024, 0.9998581024675949, 0.9988630446299736, 0.9988720084802878, 0.9999490906451896, 0.999567891272406, 0.9997485336207101, 0.9295161048408397, -1]","[-16, -14, -13, -15, -13, -11, -12, -10, -12, -13, -11, -12, -10, -8, -7]","[12, 12, 12, 12, 12, 11.09636312892236, 11.682108476731774, 11.682108476731774, 13.541140686413453, 14.540889220034163, 12.541753437489351, 13.541702528134541, 11.543958511173965, 9.546232421914018, 8.546374319446423]","[-1, -1, -1, -1, 0.45181843553881995, 0.5857453478094136, -1, 0.9295161048408397, 0.9997485336207101, 0.999567891272406, 0.9999490906451896, 0.9988720084802878, 0.9988630446299736, 0.9998581024675949]","[-12, -10, -12, -13, -11, -12, -10, -8, -7, -9, -10, -8, -7, -6, -7]","[11, 11, 12.85903220968168, 13.85878074330239, 11.859644960757578, 12.859594051402768, 10.861850034442192, 8.864123945182245, 7.86426584271465, 9.808727224639455, 9.808727224639455, 7.937889368140302, 6.947944783006242, 5.964344972193972, 5.964344972193972]","[-1, 0.9295161048408397, 0.9997485336207101, 0.999567891272406, 0.9999490906451896, 0.9988720084802878, 0.9988630446299736, 0.9998581024675949, 0.9722306909624024, -1, 0.9354189282495763, 0.9899445851340601, 0.9835998108122697, -1]"
"[-6, -5, -7, -5, -6, -5, -6, -5, -6, -8, -7, -9, -8, -6, -7]","[3, 2.000022012438627, 3.9989335305032205, 2.0007833765905376, 3.0001161254834745, 2.008627924982411, 2.008627924982411, 2.008627924982411, 2.008627924982411, 2.008627924982411, 2.008627924982411, 3.6261969335296, 2.7675302237149046, 1.3743812954314634, 1.3743812954314634]","[0.9999779875613731, 0.9994557590322969, 0.9990750769563415, 0.9993327488929368, 0.9914882005010638, -1, -1, -1, -1, -1, 0.8087845042735947, 0.8586667098146954, 0.6965744641417208, -1]","[2, 1, -1, -3, -5, -7, -6, -5, -7, -5, -6, -5, -6, -5, -6]","[-1, -6.314272133889354e-05, 1.9946268158757166, 2.967663384049568, 2.967663384049568, 3.9383713786189753, 2.9386527915112683, 1.9386748039498953, 3.9375863220144893, 1.9394361681018064, 2.9387689169947433, 1.9472807164936796, 1.9472807164936796, 1.9472807164936796, 1.9472807164936796]","[0.9999368572786611, 0.9973449792985277, 0.9730365681738518, -1, 0.9707079945694075, 0.9997185871077071, 0.9999779875613731, 0.9994557590322969, 0.9990750769563415, 0.9993327488929368, 0.9914882005010638, -1, -1, -1]","[-6, -8, -10, -11, -9, -7, -5, -6, -8, -9, -8, -10, -8, -9, -10]","[1, 1, 2.3931489282834413, 3.2518156380981367, 1.6342466295509472, 1.6342466295509472, 1.6342466295509472, 1.6342466295509472, 1.6342466295509472, 2.625734830052011, 1.6264020811590743, 3.624552235071757, 1.6256407170071634, 2.6256187045685366, 3.6253372916762436]","[-1, 0.6965744641417208, 0.8586667098146954, 0.8087845042735947, -1, -1, -1, -1, 0.9914882005010638, 0.9993327488929368, 0.9990750769563415, 0.9994557590322969, 0.9999779875613731, 0.9997185871077071]","[-5, -6, -8, -9, -8, -10, -8, -9, -10, -9, -11, -10, -8, -7, -9]","[2, 2, 2, 2.9914882005010637, 1.992155451608127, 3.9903056055208097, 1.9913940874562162, 2.991372075017589, 3.9910906621252966, 2.049674672986481, 2.049674672986481, 0.10360153663877791, -1.8910884219582775, -2.8910252792369384, -0.8921715487145678]","[-1, -1, 0.9914882005010638, 0.9993327488929368, 0.9990750769563415, 0.9994557590322969, 0.9999779875613731, 0.9997185871077071, 0.9707079945694075, -1, 0.9730365681738518, 0.9973449792985277, 0.9999368572786611, 0.9994268652611853]"
"[-3, -4, -6, -7, -9, -8, -6, -8, -10, -11, -9, -8, -6, -4, -2]","[-3, -3, -1.0554733342967462, -0.05613307392822042, 0.9390048801289703, -0.05473983322206788, -2.025964304465332, -0.32325297566811617, 0.9831868806722506, 1.6778511761838075, 1.6778511761838075, 1.6778511761838075, 1.6778511761838075, 1.6778511761838075, 1.6778511761838075]","[-1, 0.9722633328516269, 0.9993402603685256, 0.9951379540571909, 0.9937447133510382, 0.9856122356216322, 0.8513556643986081, 0.6532199281701833, 0.6946642955115572, -1, -1, -1, -1, -1]","[-11, -9, -8, -6, -5, -4, -3, -4, -6, -7, -9, -8, -6, -8, -10]","[4, 2.000982534629774, 1.0010236560298593, -0.988489101246369, -0.988489101246369, -1.9767122255534817, -2.962869649013614, -2.962869649013614, -1.0183429833103599, -0.019002722941833916, 0.9761352311153568, -0.01760948223568093, -1.9888339534789452, -0.2861226246817292, 1.0203172316586375]","[0.999508732685113, 0.9999588785999146, 0.9947563786381143, -1, 0.9882231243071125, 0.9861574234601324, -1, 0.9722633328516269, 0.9993402603685256, 0.9951379540571909, 0.9937447133510382, 0.9856122356216322, 0.8513556643986081, 0.6532199281701833]","[-6, -4, -2, -1, 1, -1, -2, 0, -2, -3, -2, -1, 1, -1, -2]","[3, 3, 3, 2.305335704488443, 0.9988958481480763, 0.9988958481480763, 0.9988958481480763, -0.7038154806491397, 1.2674089905941248, 2.261153703945163, 0.2708777958307813, -0.7284624645377442, -2.672989130240998, -2.672989130240998, -1.6868317067808656]","[-1, -1, 0.6946642955115572, 0.6532199281701833, -1, -1, 0.8513556643986081, 0.9856122356216322, 0.9937447133510382, 0.9951379540571909, 0.9993402603685256, 0.9722633328516269, -1, 0.9861574234601324]","[-2, 0, -2, -3, -2, -1, 1, -1, -2, -3, -2, -4, -5, -7, -6]","[0, -1.7027113287972162, 0.2685131424460483, 1.2622578557970865, -0.7280180523172952, -1.727358312685821, -3.671884978389075, -3.671884978389075, -2.6857275549289428, -1.6975044306218303, -1.6975044306218303, 0.29200832665439824, 1.2919672052543127, 3.290984670624539, 2.2910188906544358]","[0.8513556643986081, 0.9856122356216322, 0.9937447133510382, 0.9951379540571909, 0.9993402603685256, 0.9722633328516269, -1, 0.9861574234601324, 0.9882231243071125, -1, 0.9947563786381143, 0.9999588785999146, 0.999508732685113, 0.9999657799701034]"
"[-19, -18, -17, -18, -20, -22, -21, -22, -24, -23, -25, -23, -24, -22, -24]","[11, 10.0000351787167, 9.000056876909666, 9.999787185113826, 11.970147349821794, 13.81851758280965, 13.045936007190168, 13.827273484762694, 15.388788763973858, 13.842335955097889, 15.328176301091682, 15.328176301091682, 15.328176301091682, 15.328176301091682, 15.328176301091682]","[0.9999648212832996, 0.9999783018070343, 0.9997303082041606, 0.9851800823539832, 0.9241851164939282, 0.7725815756194806, 0.7813374775725256, 0.7807576396055822, 0.7732264044379844, 0.7429201729968964, -1, -1, -1, -1]","[-17, -16, -15, -17, -18, -20, -19, -18, -17, -18, -20, -22, -21, -22, -24]","[12, 11.010183548811382, 10.016275071463639, 11.983634664380208, 11.983634664380208, 11.983634664380208, 10.983940009651139, 9.98397518836784, 8.983996886560805, 9.983727194764965, 11.95408735947293, 13.802457592460788, 13.029876016841307, 13.811213494413833, 15.372728773624997]","[0.9898164511886186, 0.9939084773477435, 0.9836797964582847, -1, -1, 0.9996946547290688, 0.9999648212832996, 0.9999783018070343, 0.9997303082041606, 0.9851800823539832, 0.9241851164939282, 0.7725815756194806, 0.7813374775725256, 0.7807576396055822]","[-20, -22, -20, -19, -20, -21, -20, -19, -17, -15, -14, -15, -16, -17, -19]","[14, 14.773226404437985, 13.21171112522682, 12.430373647654294, 13.202955223273776, 13.202955223273776, 13.202955223273776, 13.202955223273776, 11.354584990285918, 9.384224825577952, 8.384494517373792, 9.384472819180825, 10.384437640464125, 11.384132295193194, 11.384132295193194]","[0.7732264044379844, 0.7807576396055822, 0.7813374775725256, 0.7725815756194806, -1, -1, -1, 0.9241851164939282, 0.9851800823539832, 0.9997303082041606, 0.9999783018070343, 0.9999648212832996, 0.9996946547290688, -1]","[-20, -19, -17, -15, -14, -15, -16, -17, -19, -21, -19, -20, -21, -22, -23]","[13, 13, 11.151629767012144, 9.181269602304177, 8.181539294100016, 9.18151759590705, 10.181482417190349, 11.181177071919418, 11.181177071919418, 11.181177071919418, 9.213817479002849, 10.207725956350593, 11.197542407539212, 11.197542407539212, 12.193035981548046]","[-1, 0.9241851164939282, 0.9851800823539832, 0.9997303082041606, 0.9999783018070343, 0.9999648212832996, 0.9996946547290688, -1, -1, 0.9836797964582847, 0.9939084773477435, 0.9898164511886186, -1, 0.9954935740088349]"
"[-1, 1, 2, 4, 5, 6, 7, 8, 7, 9, 7, 8, 7, 9, 8]","[-2, -3.990074844664975, -3.990074844664975, -5.969547985693628, -6.9662831683584985, -7.962006334317744, -8.952450134529418, -9.59410059773551, -9.25653607971164, -9.927845283011202, -9.604308075765363, -9.604308075765363, -9.604308075765363, -9.604308075765363, -9.604308075765363]","[0.9950374223324876, -1, 0.9897365705143266, 0.9967351826648702, 0.9957231659592457, 0.9904438002116747, 0.3208252316030456, 0.3375645180238684, 0.3356546016497798, 0.32353720724583857, -1, -1, -1, -1]","[2, 0, -2, -1, 1, 0, -1, 1, 2, 4, 5, 6, 7, 8, 7]","[-5, -5, -3.829151675749194, -4.446679718662988, -4.446679718662988, -3.4594200956512635, -2.4653487331685815, -4.455423577833557, -4.455423577833557, -6.43489671886221, -7.43163190152708, -8.427355067486326, -9.417798867698, -10.05944933090409, -9.721884812880223]","[-1, 0.585424162125403, 0.6175280429137948, -1, 0.9872596230117253, 0.9940713624826818, 0.9950374223324876, -1, 0.9897365705143266, 0.9967351826648702, 0.9957231659592457, 0.9904438002116747, 0.3208252316030456, 0.3375645180238684]","[7, 5, 6, 4, 2, 1, 3, 2, 1, 0, -2, -1, -3, -2, -1]","[-13, -12.32869079670044, -12.666255314724308, -12.345430083121263, -12.345430083121263, -12.345430083121263, -12.345430083121263, -11.35498628290959, -10.359263116950343, -9.362527934285472, -7.38305479325682, -7.38305479325682, -5.392979948591845, -6.387051311074527, -7.374310934086252]","[0.3356546016497798, 0.3375645180238684, 0.3208252316030456, -1, -1, -1, 0.9904438002116747, 0.9957231659592457, 0.9967351826648702, 0.9897365705143266, -1, 0.9950374223324876, 0.9940713624826818, 0.9872596230117253]","[3, 2, 1, 0, -2, -1, -3, -2, -1, 0, -1, -2, 0, -1, -2]","[-11, -10.009556199788324, -9.01383303382908, -8.017097851164209, -6.037624710135557, -6.037624710135557, -4.0475498654705815, -5.0416212279532635, -6.028880850964989, -6.028880850964989, -6.028880850964989, -5.411352808051195, -6.582201132302001, -6.582201132302001, -5.9719704510383105]","[0.9904438002116747, 0.9957231659592457, 0.9967351826648702, 0.9897365705143266, -1, 0.9950374223324876, 0.9940713624826818, 0.9872596230117253, -1, -1, 0.6175280429137948, 0.585424162125403, -1, 0.6102306812636902]"
"[-9, -11, -10, -8, -10, -9, -8, -6, -8, -10, -11, -13, -15, -13, -15]","[-2, -0.0016248477148397278, -1.0015869690728727, -3.0005832099233842, -1.002197877568157, -2.002162214723077, -3.001906042711836, -4.872926673108949, -4.872926673108949, -4.872926673108949, -4.872926673108949, -4.872926673108949, -4.872926673108949, -4.872926673108949, -4.872926673108949]","[0.9991875761425801, 0.999962121358033, 0.9994981204252559, 0.9991926661776137, 0.99996433715492, 0.9997438279887588, 0.9355103151985565, -1, -1, -1, -1, -1, -1, -1]","[-4, -6, -8, -10, -12, -11, -9, -11, -10, -8, -10, -9, -8, -6, -8]","[0, 0, 0, 0, 0.929920625558355, -0.06960945616083447, -2.068510209637232, -0.0701350573520716, -1.0700971787101046, -3.069093419560616, -1.0707080872053887, -2.0706724243603087, -3.0704162523490677, -4.9414368827461805, -4.9414368827461805]","[-1, -1, -1, 0.929920625558355, 0.9995300817191894, 0.9994503767381988, 0.9991875761425801, 0.999962121358033, 0.9994981204252559, 0.9991926661776137, 0.99996433715492, 0.9997438279887588, 0.9355103151985565, -1]","[-13, -15, -13, -15, -14, -15, -17, -18, -19, -17, -19, -20, -18, -20, -21]","[-5, -5, -5, -5, -5, -5, -3.128979369602887, -2.129235541614128, -1.1292712044592084, -3.1276565368144356, -1.128660295963924, -0.12869817460589061, -2.127073326891051, -0.1281725734146537, 0.871357508304536]","[-1, -1, -1, -1, -1, 0.9355103151985565, 0.9997438279887588, 0.99996433715492, 0.9991926661776137, 0.9994981204252559, 0.999962121358033, 0.9991875761425801, 0.9994503767381988, 0.9995300817191894]","[-17, -18, -19, -17, -19, -20, -18, -20, -21, -20, -22, -23, -25, -26, -24]","[-3, -2.000256172011241, -1.0002918348563212, -2.9986771672115484, -0.9996809263610369, 0.0002811949969960814, -1.9980939572881642, 0.0008067961882334274, 1.000336877907423, -0.8595043732092869, -0.8595043732092869, -0.8595043732092869, -0.8595043732092869, 0.13738257360482287, -1.8589784897767236]","[0.9997438279887588, 0.99996433715492, 0.9991926661776137, 0.9994981204252559, 0.999962121358033, 0.9991875761425801, 0.9994503767381988, 0.9995300817191894, 0.929920625558355, -1, -1, -1, 0.9968869468141098, 0.9981805316907733]"
"[-3, -4, -2, -1, 0, -1, -2, -1, -3, -5, -4, -5, -6, -4, -2]","[5, 5, 5, 3.218858129547664, 2.235611548161923, 3.2355621706567597, 4.235503789018256, 3.2356229096310245, 5.227981894127998, 7.1943954953079405, 7.1943954953079405, 7.1943954953079405, 7.852965501650852, 7.852965501650852, 7.852965501650852]","[-1, -1, 0.8905709352261678, 0.9832465813857414, 0.9999506224948365, 0.9999416183614963, 0.9998808793872312, 0.9961794922484868, 0.9832068005899713, -1, -1, 0.6585700063429109, -1, -1]","[-5, -4, -6, -5, -3, -1, -3, -4, -2, -1, 0, -1, -2, -1, -3]","[9, 8.00005071254226, 9.999209920480286, 8.999303524638613, 7.018429696398091, 5.349419209757206, 5.349419209757206, 5.349419209757206, 5.349419209757206, 3.5682773393048706, 2.585030757919129, 3.584981380413965, 4.584922998775461, 3.5850421193882296, 5.577401103885203]","[0.9999492874577398, 0.9995796039690134, 0.9999063958416743, 0.9904369141202612, 0.8345052433204421, -1, -1, -1, 0.8905709352261678, 0.9832465813857414, 0.9999506224948365, 0.9999416183614963, 0.9998808793872312, 0.9961794922484868]","[-3, -2, 0, 1, 3, 5, 4, 5, 6, 5, 3, 5, 4, 2, 0]","[8, 7.341429993657089, 7.341429993657089, 7.341429993657089, 5.375016392477146, 3.3826574079801723, 4.382538287367403, 3.382596669005907, 2.382646046511071, 3.3658926278968124, 4.25646356312298, 4.25646356312298, 4.25646356312298, 5.9254740497638645, 7.906347878004387]","[0.6585700063429109, -1, -1, 0.9832068005899713, 0.9961794922484868, 0.9998808793872312, 0.9999416183614963, 0.9999506224948365, 0.9832465813857414, 0.8905709352261678, -1, -1, 0.8345052433204421, 0.9904369141202612]","[4, 5, 6, 5, 3, 5, 4, 2, 0, -1, 1, 0, 2, 4, 3]","[4, 3.0000583816385036, 2.0001077591436673, 2.9833543405294085, 3.8739252757555764, 3.8739252757555764, 3.8739252757555764, 5.542935762396461, 7.523809590636983, 8.523715986478656, 6.524556778540631, 7.52450606599837, 5.52675354830836, 3.5286649340948264, 4.528616911501825]","[0.9999416183614963, 0.9999506224948365, 0.9832465813857414, 0.8905709352261678, -1, -1, 0.8345052433204421, 0.9904369141202612, 0.9999063958416743, 0.9995796039690134, 0.9999492874577398, 0.9988762588450053, 0.9990443071067666, 0.9999519774069981]"
"[-8, -6, -8, -7, -6, -5, -7, -9, -8, -10, -9, -11, -12, -10, -9]","[-4, -5.927105670591669, -5.927105670591669, -7.76914839125602, -8.753250627355017, -9.737482358408428, -7.954998308478519, -7.229555350602785, -7.229555350602785, -6.03638193706829, -6.741960117060054, -6.741960117060054, -6.741960117060054, -6.741960117060054, -6.741960117060054]","[0.9635528352958347, -1, 0.9210213603321753, 0.9841022360989972, 0.9842317310534111, 0.8912420249649544, 0.7254429578757334, -1, 0.596586706767248, 0.7055781799917636, -1, -1, -1, -1]","[-6, -4, -2, -4, -6, -7, -8, -6, -8, -7, -6, -5, -7, -9, -8]","[-5, -6.9984342655085126, -8.993013493031203, -7.014373235050361, -5.323293310213469, -5.323293310213469, -4.35307703310773, -6.280182703699399, -6.280182703699399, -8.12222542436375, -9.106327660462746, -10.090559391516159, -8.30807534158625, -7.582632383710516, -7.582632383710516]","[0.9992171327542563, 0.997289613761345, 0.9893201289904204, 0.8455399624184463, -1, 0.9702162771057391, 0.9635528352958347, -1, 0.9210213603321753, 0.9841022360989972, 0.9842317310534111, 0.8912420249649544, 0.7254429578757334, -1]","[-9, -11, -10, -12, -13, -11, -10, -8, -9, -10, -12, -13, -15, -14, -12]","[-6, -6, -6, -6, -5.294421820008236, -6.4875952335427325, -7.9384811492942, -9.720965199224107, -8.736733468170698, -7.7526312320717, -6.831609871739524, -6.831609871739524, -4.904504201147855, -5.874720478253594, -5.874720478253594]","[-1, -1, -1, 0.7055781799917636, 0.596586706767248, 0.7254429578757334, 0.8912420249649544, 0.9842317310534111, 0.9841022360989972, 0.9210213603321753, -1, 0.9635528352958347, 0.9702162771057391, -1]","[-10, -8, -9, -10, -12, -13, -15, -14, -12, -10, -8, -10, -12, -13, -11]","[-9, -10.78248404992991, -9.798252318876498, -8.8141500827775, -7.893128722445326, -7.893128722445326, -5.9660230518536554, -6.936239328959395, -6.936239328959395, -8.627319253796287, -10.605959511777128, -8.61138028425444, -6.612946018745926, -5.6129834249208725, -7.6120022828356895]","[0.8912420249649544, 0.9842317310534111, 0.9841022360989972, 0.9210213603321753, -1, 0.9635528352958347, 0.9702162771057391, -1, 0.8455399624184463, 0.9893201289904204, 0.997289613761345, 0.9992171327542563, 0.9999625938250533, 0.9995094289574087]"
"[-14, -15, -13, -14, -16, -17, -18, -19, -18, -20, -19, -20, -22, -24, -23]","[10, 10.973457129582949, 10.973457129582949, 11.968953970987378, 13.966597601141055, 14.964811106171341, 15.962062095872975, 16.956651562684062, 16.956651562684062, 18.21043586030001, 18.21043586030001, 19.130201978330682, 20.946284560626758, 21.741474290749693, 21.741474290749693]","[0.9734571295829479, -1, 0.9954968414044313, 0.9988218150768382, 0.9982135050302857, 0.9972509897016341, 0.9945894668110883, -1, 0.6268921488079734, -1, 0.9197661180306738, 0.9080412911480371, 0.795189730122936, -1]","[-6, -8, -7, -9, -10, -12, -14, -15, -13, -14, -16, -17, -18, -19, -18]","[3, 4.985616969934782, 4.985616969934782, 5.953944667089173, 6.938915572571462, 8.905547800252371, 9.886165026226774, 10.85962215580972, 10.85962215580972, 11.855118997214152, 13.852762627367829, 14.850976132398115, 15.848227122099749, 16.842816588910836, 16.842816588910836]","[0.9928084849673909, -1, 0.968327697154391, 0.9849709054822889, 0.9833161138404544, 0.9806172259744024, 0.9734571295829479, -1, 0.9954968414044313, 0.9988218150768382, 0.9982135050302857, 0.9972509897016341, 0.9945894668110883, -1]","[-26, -24, -23, -22, -20, -19, -18, -17, -15, -14, -13, -12, -10, -9, -8]","[21, 19.183917417703924, 18.26415129967325, 18.26415129967325, 17.010367002057304, 16.015777535246215, 15.018526545544583, 14.020313040514297, 12.02266941036062, 11.027172568956189, 10.05371543937324, 8.092480987424436, 6.125848759743526, 5.1408778542612374, 3.2042224599524545]","[0.9080412911480371, 0.9197661180306738, -1, 0.6268921488079734, 0.9945894668110883, 0.9972509897016341, 0.9982135050302857, 0.9988218150768382, 0.9954968414044313, 0.9734571295829479, 0.9806172259744024, 0.9833161138404544, 0.9849709054822889, 0.968327697154391]","[-18, -17, -15, -14, -13, -12, -10, -9, -8, -7, -5, -6, -5, -4, -3]","[14, 13.001786494969714, 11.004142864816037, 10.008646023411607, 9.035188893828659, 7.073954441879854, 5.107322214198945, 4.122351308716656, 2.185695914407873, 2.185695914407873, 0.20007894447309127, 1.194750245026853, 0.2200168376022713, -0.7346970855214394, -2.600607643017103]","[0.9982135050302857, 0.9988218150768382, 0.9954968414044313, 0.9734571295829479, 0.9806172259744024, 0.9833161138404544, 0.9849709054822889, 0.968327697154391, -1, 0.9928084849673909, 0.9946713005537616, 0.9747334074245818, 0.9547139231237101, 0.9329552787478317]"
